Sequence Size,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Accuracy on Device 10 Probe-Again,Accuracy on Device 7 Cut,Accuracy on Device 7 Probe-Again
1900,0.005357904006104823,99.85320238986509,0.006846415739640253,99.80133584517897,99.90879795707424,97.0,61.93834741898218
1950,0.004830077734090175,99.86138837621003,0.008513285138224497,99.77500834929954,99.1575663026521,100.0,71.83151326053041
2000,0.004328835343697787,99.86942648092777,0.005758528387838018,99.8071064159651,99.904,100.0,57.696
2050,0.004623570676559338,99.86536253118442,0.007799803343338969,99.79857710431489,99.94751689300007,100.0,43.80371317982024
2100,0.004679736628777723,99.85801677836014,0.006401764096325786,99.82015750416477,99.79838709677419,100.0,55.35618279569893
2150,0.004104777478107291,99.87872545436423,0.004270218566357047,99.88177378091325,99.84175037842301,100.0,50.11696711160039
2200,0.003939965450888312,99.88525286867828,0.005332709297442702,99.86117171076117,99.852154322726,100.0,65.19290340749085
2250,0.004498714667051315,99.85569232909104,0.0031375990514315964,99.9107505070994,99.9927995391705,100.0,53.254608294930875
2300,0.003527820652133033,99.89069581444949,0.019703729570142506,99.70349174753255,99.90431326365376,99.0,60.658030325334906
2350,0.004822098148690186,99.85653970127571,0.004450065382736225,99.86229105315566,99.97743851996691,100.0,44.694291945551626
2400,0.004066465133662497,99.87203264094956,0.0033616498605165976,99.92210826950539,99.97695852534562,100.0,59.45468509984639
2450,0.004493910830391471,99.88924859430908,0.004479900574176976,99.85864475660394,100.0,100.0,38.57310858486868
2500,0.0037854948365380688,99.89278470008693,0.004190526113845819,99.89181879648412,99.984,100.0,64.816
2550,0.003804671364707448,99.88077995526785,0.06563848660532641,98.11711152493275,100.0,98.0,11.645177085033458
2600,0.003839537941034425,99.87342026481284,0.015947350759167086,99.54995077586611,99.64223313087611,100.0,93.93460354438805
2650,0.0037865116049955595,99.88122299359014,0.018104104690393436,99.75391819571865,100.0,99.0,44.53018995929444
2700,0.0036411073719137457,99.896716847673,0.004704938098911355,99.86611815681215,100.0,100.0,58.588214964575776
2750,0.0033137021420904184,99.90967536262686,0.004831070592696672,99.85371054523816,100.0,100.0,54.58065651676494
2800,0.003780521167892322,99.90586656856593,0.04135400388731524,99.17950012623075,100.0,98.0,11.693548387096774
2850,0.003235236153574202,99.91409597021993,0.005578313489811802,99.84838751124245,99.98175848230572,100.0,74.32506384531193
2900,0.0038564253979022477,99.89689912924591,0.014571447317639529,99.41427189289543,99.92575406032482,100.0,62.34802784222738
2950,0.0035112986409185825,99.90766284398441,0.0034650921682758866,99.91488456218747,99.83951666194658,99.0,80.49655432833003
3000,0.0039059729558593454,99.89218141346689,0.0032604687192854843,99.89991343864965,99.99039938556068,99.0,55.1363287250384
3050,0.003772173968540315,99.88920451196945,0.0019267916805247255,99.93674541404252,99.96095656417765,100.0,64.52903855539287
3100,0.003421969221936712,99.91014951121335,0.0037272416270012444,99.88539162520266,100.0,100.0,79.81150793650794
3150,0.00307870472838848,99.89896161758799,0.004018969797552059,99.88354588576135,99.9899193548387,100.0,23.286290322580644
3200,0.002731946805871065,99.93198456667986,0.004996913274970794,99.88746537396122,99.98975934459806,100.0,64.08602150537635
3250,0.002282281982447701,99.93217443729904,0.0020364082208223487,99.94431744915303,99.98959958398336,100.0,56.55746229849194
3300,0.002600891297593589,99.92347719620447,0.003088349075197076,99.91965242233067,99.98943922272679,100.0,64.69532157566798
3350,0.004101313344109085,99.87700673226307,0.002009075023103826,99.93354277428709,100.0,100.0,34.6483704974271
3400,0.002388240602523583,99.92247450856722,0.0024885653828870488,99.93868040225657,100.0,100.0,77.26036339897726
3450,0.004197805006869637,99.8853272174516,0.004037442672378306,99.84444029618568,99.98895881638512,100.0,76.52644363475764
3500,0.002652809553724443,99.93642204937437,0.0020658435181284524,99.94003093141433,100.0,100.0,56.04838709677419
3550,0.004307103683238673,99.87101908643093,0.003376363499145132,99.90715543460861,100.0,99.0,59.49784139968189
